AlgoritmoTabla,Position,Fitness,Time,Evals
Random,8,11.4,0.675514,10000
Greedy,1,13.35,0.000814156,10
BL,4,12.6,0.316308,10000
Mejor Práctica 2,3,12.85,0.675459,30330
BMB,7,11.45,0.0534877,1010
ILS,9,11.3,0.0439986,1001
ES,10,11.1,0.00189456,146
ILS-ES,5,11.5,0.00391384,334
GRASP-NOBL,2,12.95,0.00737248,10
GRASP-SIBL,6,11.5,0.0543684,1000
