Algorithm,Deviation %,Mean Time (s)
AGE-Position,61.09454000000001,0.14884
AGE-Uniform,56.308029999999995,0.15466
AGG-Position,58.498509999999996,0.14247
AGG-Uniform,60.007799999999996,0.14825
AM-_10_0.1_,53.449400000000004,0.18478
AM-_10_0.1__heurLS,69.56062,0.10150999999999999
AM-_10_0.1mej_,56.4356,0.18622
AM-_10_0.1mej__heurLS,80.70466,0.10228
AM-_10_1.0_,56.35268,0.18434
AM-_10_1.0__heurLS,81.38106,0.09966
