AlgoritmoTabla,Position,Fitness,Time,Evals
Random,6,11.3,1.30754,10000
Greedy,1,13.9,0.00177551,10
BL,3,12.35,0.221869,10000
Mejor Práctica 2,4,12.1,1.05217,30330
BMB,7,11.3,0.158306,1010
ILS,8,11.15,0.145569,1001
ES,5,11.55,0.00357086,262
ILS-ES,10,11.0,0.0053011,378
GRASP-NOBL,2,13.6,0.0239758,10
GRASP-SIBL,9,11.15,0.157883,1000
