Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
"AM-(10,0.1)",GKD-b_44_n150_m15,55.632,42.1727,63.6465,53.3801,0.0825,0.0787,0.088
"AM-(10,0.1)",GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.02,0.0199,0.02
"AM-(10,0.1)",GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.0199,0.0199,0.02
"AM-(10,0.1)",GKD-b_6_n25_m7,12.8702,12.7179,13.4792,1.1828,0.0168,0.0166,0.0169
"AM-(10,0.1)",GKD-b_32_n125_m12,34.9878,32.1937,39.7119,46.2987,0.0507,0.05,0.051
"AM-(10,0.1)",GKD-b_18_n50_m15,64.2419,56.9449,70.3494,32.7603,0.0478,0.0476,0.0481
"AM-(10,0.1)",GKD-b_38_n125_m37,453.9788,389.3545,500.375,58.5956,0.3135,0.3119,0.3154
"AM-(10,0.1)",GKD-b_17_n50_m15,61.5023,48.623,71.0263,21.7792,0.0491,0.0487,0.0493
"AM-(10,0.1)",GKD-b_39_n125_m37,340.6754,307.4409,359.7905,50.513,0.3108,0.3093,0.313
"AM-(10,0.1)",GKD-b_21_n100_m10,25.5364,21.8648,29.6129,45.8341,0.0363,0.0354,0.038
"AM-(10,0.1)",GKD-b_48_n150_m45,470.2736,363.0024,545.248,51.7844,0.4908,0.4855,0.4941
"AM-(10,0.1)",GKD-b_11_n50_m5,2.2757,1.9261,3.6741,15.3621,0.013,0.0128,0.0132
"AM-(10,0.1)",GKD-b_19_n50_m15,63.1741,48.1885,76.2656,26.5325,0.0485,0.048,0.0489
"AM-(10,0.1)",GKD-b_47_n150_m45,530.3375,497.165,593.1201,56.8948,0.4865,0.4793,0.4915
"AM-(10,0.1)",GKD-b_41_n150_m15,55.4724,45.595,63.6206,57.9141,0.0826,0.0819,0.0836
"AM-(10,0.1)",GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.02,0.02,0.0201
"AM-(10,0.1)",GKD-b_43_n150_m15,58.5215,48.6537,62.2566,54.2826,0.0809,0.0804,0.0814
"AM-(10,0.1)",GKD-b_14_n50_m5,3.5279,1.6632,4.7623,52.8559,0.013,0.0128,0.0133
"AM-(10,0.1)",GKD-b_50_n150_m45,544.4705,511.5,587.9922,54.2938,0.4815,0.4787,0.4841
"AM-(10,0.1)",GKD-b_16_n50_m15,69.3454,62.9761,74.392,38.3581,0.0487,0.0481,0.0492
"AM-(10,0.1)",GKD-b_33_n125_m12,35.7863,26.4999,42.1499,48.216,0.0517,0.0512,0.0525
"AM-(10,0.1)",GKD-b_7_n25_m7,14.6276,14.0988,16.7429,3.6153,0.0169,0.0167,0.0172
"AM-(10,0.1)",GKD-b_46_n150_m45,552.9207,514.312,587.48,58.8098,0.4828,0.4789,0.4867
"AM-(10,0.1)",GKD-b_25_n100_m10,28.0161,24.4463,32.0594,38.6048,0.035,0.0347,0.0353
"AM-(10,0.1)",GKD-b_8_n25_m7,16.7611,16.7611,16.7612,-0.0003,0.0165,0.0164,0.0166
"AM-(10,0.1)",GKD-b_12_n50_m5,3.5032,2.0513,4.7902,39.4538,0.013,0.0128,0.0135
"AM-(10,0.1)",GKD-b_37_n125_m37,412.6002,365.8867,461.5898,51.7948,0.3274,0.3228,0.3344
"AM-(10,0.1)",GKD-b_13_n50_m5,2.8029,2.3623,3.4638,15.7192,0.013,0.0129,0.0134
"AM-(10,0.1)",GKD-b_35_n125_m12,37.0813,34.21,40.2855,51.1549,0.0551,0.0512,0.0679
"AM-(10,0.1)",GKD-b_45_n150_m15,53.5673,34.4854,62.9312,48.153,0.081,0.0803,0.0828
"AM-(10,0.1)",GKD-b_36_n125_m37,344.5647,304.8628,379.4692,54.8895,0.3178,0.3134,0.3198
"AM-(10,0.1)",GKD-b_30_n100_m30,284.5412,257.0918,306.7488,55.1981,0.2023,0.2,0.2037
"AM-(10,0.1)",GKD-b_49_n150_m45,600.356,536.0073,634.9883,62.2874,0.4778,0.4733,0.4837
"AM-(10,0.1)",GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.0201,0.02,0.0201
"AM-(10,0.1)",GKD-b_22_n100_m10,25.7588,23.7891,29.9193,46.9527,0.0356,0.0348,0.0373
"AM-(10,0.1)",GKD-b_28_n100_m30,293.5926,264.1812,317.6982,63.7664,0.2065,0.205,0.2088
"AM-(10,0.1)",GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.02,0.02,0.0201
"AM-(10,0.1)",GKD-b_15_n50_m5,3.6596,2.8531,5.3005,22.0378,0.013,0.0127,0.0134
"AM-(10,0.1)",GKD-b_42_n150_m15,61.0629,56.3812,66.1265,56.128,0.0832,0.0825,0.0847
"AM-(10,0.1)",GKD-b_34_n125_m12,37.39,32.1044,41.4172,47.8783,0.0533,0.0527,0.054
"AM-(10,0.1)",GKD-b_20_n50_m15,65.8751,59.9729,80.4484,27.5673,0.0478,0.0472,0.0483
"AM-(10,0.1)",GKD-b_27_n100_m30,279.4697,259.5808,325.8904,54.522,0.1933,0.1923,0.1942
"AM-(10,0.1)",GKD-b_9_n25_m7,17.0692,17.0692,17.0692,-0.0002,0.0167,0.0165,0.0168
"AM-(10,0.1)",GKD-b_10_n25_m7,23.2651,23.2651,23.2651,-0.0004,0.0169,0.0167,0.017
"AM-(10,0.1)",GKD-b_29_n100_m30,270.4616,247.6548,309.9746,49.1783,0.1949,0.193,0.196
"AM-(10,0.1)",GKD-b_26_n100_m30,322.551,282.72,343.1536,47.689,0.1969,0.1945,0.1985
"AM-(10,0.1)",GKD-b_40_n125_m37,413.9411,379.2373,440.8198,56.9519,0.3113,0.3094,0.3125
"AM-(10,0.1)",GKD-b_24_n100_m10,20.7911,9.8503,27.4174,58.4406,0.0343,0.0341,0.0348
"AM-(10,0.1)",GKD-b_23_n100_m10,25.5955,23.1465,29.216,40.0466,0.0345,0.034,0.0348
"AM-(10,0.1)",GKD-b_31_n125_m12,36.936,30.4646,41.0523,68.2013,0.0562,0.0558,0.0567
