AlgoritmoTabla,Position,Fitness,Time,Evals
Random,7,14.8,0.64957,10000
Greedy,1,17.8,0.0016888,10
BL,3,17.55,0.804755,10000
Mejor Práctica 2,4,16.7,1.62782,30330
BMB,8,14.35,0.0822485,1010
ILS,6,15.05,0.0786632,1001
ES,5,15.25,0.0121124,211
ILS-ES,10,12.8,0.00792913,326
GRASP-NOBL,2,17.7,0.0144564,10
GRASP-SIBL,9,14.05,0.0884402,1000
