Algorithm,Deviation %,Mean Time (s)
AGE-Position,22.83613,0.04288
AGE-Uniform,20.73947,0.0481
AGG-Position,22.14963,0.03592
AGG-Uniform,20.65342,0.04138
AM-_10_0.1_,0.47972000000000004,0.01838
AM-_10_0.1__heurLS,1.60805,0.01663
AM-_10_0.1mej_,-0.00019,0.01881
AM-_10_0.1mej__heurLS,0.97536,0.01672
AM-_10_1.0_,-0.00013,0.01615
AM-_10_1.0__heurLS,1.70666,0.01462
