Algorithm,Deviation %,Mean Time (s)
AGE-Position,69.09729999999999,0.057050000000000003
AGE-Uniform,66.32128,0.05993
AGG-Position,69.22124,0.05169
AGG-Uniform,67.034,0.0541
AM-_10_0.1_,29.24262,0.030690000000000002
AM-_10_0.1__heurLS,52.43062,0.021660000000000002
AM-_10_0.1mej_,27.108780000000003,0.03155
AM-_10_0.1mej__heurLS,57.07683999999999,0.02222
AM-_10_1.0_,26.603559999999998,0.02987
AM-_10_1.0__heurLS,60.77405,0.02026
