Algorithm,Deviation %,Mean Time (s)
AGE-Position,58.1749,0.20176
AGE-Uniform,56.12617,0.20807000000000003
AGG-Position,58.06049,0.19475
AGG-Uniform,57.84086,0.20183
AM-_10_0.1_,55.3928,0.28296
AM-_10_0.1__heurLS,68.52056,0.15047
AM-_10_0.1mej_,58.318740000000005,0.28392
AM-_10_0.1mej__heurLS,80.70948,0.15156
AM-_10_1.0_,57.40977,0.2838
AM-_10_1.0__heurLS,81.58577,0.14784000000000003
