Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
"AM-(10,1.0)+heurLS",GKD-b_49_n150_m45,1138.0638,1098.4502,1200.2891,80.1057,0.2624,0.2617,0.2628
"AM-(10,1.0)+heurLS",GKD-b_4_n25_m2,0.0,0.0,0.0,0.0,0.015,0.0149,0.0152
"AM-(10,1.0)+heurLS",GKD-b_22_n100_m10,62.3244,45.3282,80.9249,78.0755,0.0178,0.0177,0.0178
"AM-(10,1.0)+heurLS",GKD-b_28_n100_m30,682.1427,625.5889,739.1416,84.4051,0.1175,0.115,0.1275
"AM-(10,1.0)+heurLS",GKD-b_3_n25_m2,0.0,0.0,0.0,0.0,0.015,0.015,0.0151
"AM-(10,1.0)+heurLS",GKD-b_15_n50_m5,4.1855,3.2201,5.2505,31.8324,0.009,0.009,0.0091
"AM-(10,1.0)+heurLS",GKD-b_42_n150_m15,186.0943,153.3928,210.661,85.6043,0.0333,0.0328,0.0335
"AM-(10,1.0)+heurLS",GKD-b_34_n125_m12,104.69,84.8688,126.3035,81.3847,0.023,0.023,0.0232
"AM-(10,1.0)+heurLS",GKD-b_20_n50_m15,156.4015,128.4846,173.2122,69.4919,0.0317,0.0317,0.0318
"AM-(10,1.0)+heurLS",GKD-b_27_n100_m30,647.8275,622.7947,676.592,80.381,0.1152,0.1149,0.1155
"AM-(10,1.0)+heurLS",GKD-b_9_n25_m7,17.0692,17.0692,17.0692,-0.0,0.0142,0.0142,0.0142
"AM-(10,1.0)+heurLS",GKD-b_10_n25_m7,23.2651,23.2651,23.2651,-0.0004,0.0144,0.0143,0.0144
"AM-(10,1.0)+heurLS",GKD-b_29_n100_m30,598.9447,551.8413,637.2822,77.0508,0.1157,0.1138,0.1176
"AM-(10,1.0)+heurLS",GKD-b_26_n100_m30,644.2535,600.7639,695.0127,73.8101,0.1161,0.1153,0.1167
"AM-(10,1.0)+heurLS",GKD-b_40_n125_m37,840.2567,776.2925,898.7993,78.7929,0.176,0.1757,0.1766
"AM-(10,1.0)+heurLS",GKD-b_24_n100_m10,61.1063,51.066,81.6072,85.8597,0.0182,0.0178,0.0191
"AM-(10,1.0)+heurLS",GKD-b_23_n100_m10,67.2835,54.2136,76.3074,77.193,0.0179,0.0178,0.018
"AM-(10,1.0)+heurLS",GKD-b_31_n125_m12,126.7709,104.3758,140.9949,90.7351,0.0229,0.0227,0.0233
