Algorithm,Instance,Mean Fitness,Min Fitness,Max Fitness,Deviation %,Mean Time (s),Min Time (s),Max Time (s)
"AM-(10,1.0)+heurLS",GKD-b_44_n150_m15,159.9469,149.8138,179.7191,83.7849,0.0331,0.0329,0.0333
"AM-(10,1.0)+heurLS",GKD-b_2_n25_m2,0.0,0.0,0.0,0.0,0.015,0.0149,0.015
"AM-(10,1.0)+heurLS",GKD-b_5_n25_m2,0.0,0.0,0.0,0.0,0.015,0.0149,0.0151
"AM-(10,1.0)+heurLS",GKD-b_6_n25_m7,13.3837,12.7179,15.2852,4.9739,0.0142,0.0141,0.0142
"AM-(10,1.0)+heurLS",GKD-b_32_n125_m12,93.0973,71.3058,112.8314,79.818,0.023,0.0229,0.0231
"AM-(10,1.0)+heurLS",GKD-b_18_n50_m15,151.3491,138.5326,178.894,71.4593,0.0316,0.0315,0.0316
"AM-(10,1.0)+heurLS",GKD-b_38_n125_m37,910.6806,876.7576,948.9683,79.3597,0.1786,0.1748,0.1925
"AM-(10,1.0)+heurLS",GKD-b_17_n50_m15,164.8868,148.1345,182.1371,70.8239,0.0316,0.0314,0.0317
"AM-(10,1.0)+heurLS",GKD-b_39_n125_m37,813.5867,774.7456,887.3848,79.2782,0.1751,0.1749,0.1755
"AM-(10,1.0)+heurLS",GKD-b_21_n100_m10,63.6688,48.5523,82.5173,78.2751,0.018,0.0179,0.0185
"AM-(10,1.0)+heurLS",GKD-b_48_n150_m45,950.4789,860.7329,1009.7314,76.1441,0.264,0.2596,0.2666
"AM-(10,1.0)+heurLS",GKD-b_11_n50_m5,4.2327,3.7552,5.0906,54.4952,0.0091,0.0091,0.0092
"AM-(10,1.0)+heurLS",GKD-b_19_n50_m15,172.8377,166.8187,179.0159,73.1468,0.0311,0.0311,0.0312
"AM-(10,1.0)+heurLS",GKD-b_47_n150_m45,1089.3135,959.2739,1143.5576,79.014,0.2606,0.2573,0.2637
"AM-(10,1.0)+heurLS",GKD-b_41_n150_m15,177.0234,140.2903,194.2808,86.8119,0.033,0.0328,0.0333
"AM-(10,1.0)+heurLS",GKD-b_1_n25_m2,0.0,0.0,0.0,0.0,0.0149,0.0149,0.015
"AM-(10,1.0)+heurLS",GKD-b_43_n150_m15,174.8759,152.2893,193.6918,84.7009,0.033,0.0328,0.0334
"AM-(10,1.0)+heurLS",GKD-b_14_n50_m5,4.4577,1.6632,6.122,62.6896,0.0089,0.0089,0.0089
"AM-(10,1.0)+heurLS",GKD-b_50_n150_m45,1079.7951,999.4561,1177.8984,76.9533,0.2627,0.2623,0.2631
"AM-(10,1.0)+heurLS",GKD-b_16_n50_m15,164.2531,156.5306,174.5151,73.9757,0.0318,0.0317,0.0318
"AM-(10,1.0)+heurLS",GKD-b_33_n125_m12,113.0693,102.5026,129.9354,83.6104,0.0232,0.0231,0.0235
"AM-(10,1.0)+heurLS",GKD-b_7_n25_m7,15.2128,14.0988,17.0247,7.3234,0.0143,0.0139,0.0154
"AM-(10,1.0)+heurLS",GKD-b_46_n150_m45,1159.7545,1107.0791,1214.4824,80.3623,0.2628,0.262,0.2633
"AM-(10,1.0)+heurLS",GKD-b_25_n100_m10,54.0371,38.454,62.6816,68.1691,0.0178,0.0178,0.0179
"AM-(10,1.0)+heurLS",GKD-b_8_n25_m7,17.6007,16.7611,20.9588,4.7697,0.0142,0.0142,0.0143
"AM-(10,1.0)+heurLS",GKD-b_12_n50_m5,3.6788,2.121,5.2142,42.3442,0.0089,0.0089,0.009
"AM-(10,1.0)+heurLS",GKD-b_37_n125_m37,995.7949,899.5991,1068.377,80.0265,0.1758,0.1755,0.1762
"AM-(10,1.0)+heurLS",GKD-b_13_n50_m5,5.556,3.9208,6.9185,57.4815,0.0089,0.0089,0.0089
"AM-(10,1.0)+heurLS",GKD-b_35_n125_m12,93.5045,86.0959,108.5208,80.6294,0.0231,0.023,0.0232
"AM-(10,1.0)+heurLS",GKD-b_45_n150_m15,157.5888,146.101,163.0487,82.3763,0.0335,0.0332,0.0339
"AM-(10,1.0)+heurLS",GKD-b_36_n125_m37,784.062,677.5171,852.666,80.1757,0.1759,0.1757,0.1763
"AM-(10,1.0)+heurLS",GKD-b_30_n100_m30,625.2382,509.012,717.8882,79.611,0.1145,0.113,0.115
