Algorithm,Deviation %,Mean Time (s)
AGE-Position,58.77969,0.11198000000000001
AGE-Uniform,58.842439999999996,0.11635999999999999
AGG-Position,61.420849999999994,0.10621
AGG-Uniform,59.32769,0.11086
AM-_10_0.1_,50.02326,0.11696
AM-_10_0.1__heurLS,69.32106,0.06813
AM-_10_0.1mej_,49.26604999999999,0.11817
AM-_10_0.1mej__heurLS,78.3425,0.06856999999999999
AM-_10_1.0_,50.36486,0.11553
AM-_10_1.0__heurLS,78.28304,0.06687
